Nom du Produit,Type,Plant?,Catégorie,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
"Paille d'orge, aliments pour animaux, pratiques moyennes / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.06985883441664256,1.4990524285471916e-08,0.007727451744823108,0.0007972869534462748,1.6657201823322278e-09,0.0006604095637434744,7.339895803477655e-06,0.00026669139262904646,0.0029254858790430387,0.11613010444073812,0.14551542188734698,0.007519555252732361,1.0663709880133256,3.4011790162282244e-07,0.06979623926856153,2.5698684329534863e-05,3.689646375148681e-05
"Orge fourragère, conventionnel, moyenne nationale, aliments pour animaux, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.2768219665268607,2.2271009458999452e-08,0.011182904658575037,0.0013166428262336859,4.0637290965706394e-08,0.006450063546204265,0.0001248019315113321,0.0047983174993161725,0.028492755309015013,1.0376739031413234,196.10474674561513,0.15029925393308186,1.6851948195061364,5.104938437584903e-07,0.2765554495478135,9.642773700619875e-05,0.0001700892420410623
"Blé dur, conventionnel, moyenne nationale, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.43124740581652093,2.9425529471408206e-08,0.03671957118284445,0.001973041004644917,5.090381023280628e-08,0.008293010637090776,0.0002368626030522104,0.007633366754081518,0.03703009700313188,1.0554378357949892,263.00490391087027,1.7603878615603454,2.6207188032072692,6.280241573564223e-07,0.4308899267067235,0.00013080793764203683,0.00022667117215531386
"Orge fourragère, moyenne de six cas d'études optimisés, scénario de base, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.29491040963562387,2.4665395393491336e-08,0.013645065555838071,0.001136689373445766,4.8840799653982696e-08,0.007491090653377739,0.00010921689312122827,0.005180622220519624,0.0326551108765419,0.9379521642914939,173.05386845146,0.3523048432490743,2.178138508986867,5.837282805086668e-07,0.29464993808518775,0.00011570144851942255,0.00014477010191668723
"Orge fourragère, moyenne de six cas d'études optimisés, levier légumineuse dans rotation, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.294714680628534,2.458779386314476e-08,0.013573170294964819,0.0011353630201355886,4.8754841966264515e-08,0.0074844525537293505,0.00010860509713664917,0.005247351040799806,0.03265177797013358,0.9295645850817978,173.01963987698142,0.35102270340750774,2.1683257726090575,5.84287718625252e-07,0.2944598372663769,0.00011494193808276663,0.00013990142407428695
"Orge fourragère, moyenne de six cas d'études optimisés, levier culture intermédiaire systématique, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.28947097764563595,2.4891379772365778e-08,0.013758367356392853,0.001148480321911907,4.803037757452472e-08,0.007380960126179047,0.00010907386705309895,0.004102838842886661,0.03216886947801595,0.9388370599641277,173.0532003906398,0.35034631518645165,2.182928322306937,5.840187529128023e-07,0.2892113158414956,0.00011474216171385207,0.00014491964242644939
"Maïs grain, moyenne de six cas d'études optimisés, scénario de base, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.2582532597015521,3.459483197762675e-08,0.07816308280670102,0.0009717816810389469,5.211019242852661e-08,0.007885659745112258,0.00014418837250624081,0.0037250456055175508,0.03442823402204994,1.2843651426105371,137.76328380477815,5.07355671573204,3.1599079563294685,5.189657163825289e-07,0.25803684678627387,0.00011095964212406931,0.0001054532731541146
"Maïs grain, moyenne de six cas d'études optimisés, levier légumineuse dans rotation, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.2453760949094916,3.3742125053147045e-08,0.0777853258398996,0.0009354578153413774,5.1352982855211015e-08,0.00777481993362277,0.00014015666507512258,0.0037919352849395804,0.03398494753895223,1.4063831745972497,130.74081496668725,5.060018389397296,3.050282433159778,4.897189523436821e-07,0.24517747302177284,0.00010293701997812456,9.568486774059664e-05
"Maïs grain, moyenne de six cas d'études optimisés, levier culture intermédiaire systématique, à la ferme / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.2582895169758783,3.717327109408515e-08,0.07873233620541213,0.001062874352620349,5.600922945309182e-08,0.008507607806217735,0.00014401582375379217,0.0025754631422138224,0.037231105613775094,1.631215079171666,139.18750723914042,5.066242874515123,3.20949260045958,5.38044269005632e-07,0.25808039323543147,0.00010862263722780308,0.00010050110321904328
"Fibres de chanvre, sans traitement / FR U",conv,1,Agricultural\Plant production\Cereals\Transformation,0.2994890454186026,3.014029263127007e-08,0.014831890185702076,0.001979437272992215,7.253805341987491e-08,0.011319321146999255,0.00027361003620907613,0.007888226261387963,0.05066534184676077,5.188468730900971,339.75893397181636,0.05299870906713554,2.2970671330355583,8.592299240283276e-07,0.29932871181241727,9.28180645070188e-05,6.75155416783582e-05
